PRENOM,SEXE,ANNEES,NOMBRE NAISSANCE
ABEL,Homme,1948,108
ABEL,Homme,1947,120
ABEL,Homme,1946,126
ABEL,Homme,1945,107
ABEL,Homme,1944,102
ABEL,Homme,1942,107
ABEL,Homme,1941,113
ABEL,Homme,1940,134
ABEL,Homme,1939,168
ABEL,Homme,1938,181
ABEL,Homme,1937,206
ABEL,Homme,1936,190
ABEL,Homme,1935,216
ABEL,Homme,1934,222
ABEL,Homme,1933,266
ABEL,Homme,1932,274
ABEL,Homme,1931,309
ABEL,Homme,1930,322
ABEL,Homme,1929,346
ABEL,Homme,1928,305
ABEL,Homme,1927,407
ABEL,Homme,1926,370
ABEL,Homme,1925,416
ABEL,Homme,1924,422
ABEL,Homme,1923,428
ABEL,Homme,1922,470
ABEL,Homme,1921,505
ABEL,Homme,1920,483
ABEL,Homme,1919,325
ABEL,Homme,1918,280
ABEL,Homme,1917,248
ABEL,Homme,1916,215
ABEL,Homme,1915,305
ABEL,Homme,1914,463
ABEL,Homme,1913,526
ABEL,Homme,1912,503
ABEL,Homme,1911,490
ABEL,Homme,1910,524
ABEL,Homme,1909,572
ABEL,Homme,1908,522
ABEL,Homme,1907,538
ABEL,Homme,1906,510
ABEL,Homme,1905,522
ABEL,Homme,1904,476
ABEL,Homme,1903,499
ABEL,Homme,1902,519
ABEL,Homme,1901,506
ABEL,Homme,1900,428
ABIGAËL,Femme,2018,107
ABIGAËL,Femme,2017,102
ABIGAËL,Femme,2015,108
ABIGAËL,Femme,2013,111
ABIGAËLLE,Femme,2020,150
ABIGAËLLE,Femme,2019,152
ABIGAËLLE,Femme,2018,111
ABIGAËLLE,Femme,2017,125
ABIGAËLLE,Femme,2016,134
ABIGAËLLE,Femme,2015,124
ABIGAËLLE,Femme,2014,144
ABIGAËLLE,Femme,2013,124
ABIGAEL,Femme,2010,112
ABIGAEL,Femme,2009,135
ABIGAEL,Femme,2008,136
ABIGAEL,Femme,2007,117
ABIGAEL,Femme,2006,101
ABIGAELLE,Femme,2010,108
ABIGAELLE,Femme,2009,121
ABIGAELLE,Femme,2008,113
ABIGAELLE,Femme,2006,106
ABIGAIL,Femme,2010,106
ABOUBACAR,Homme,2020,129
ABOUBACAR,Homme,2019,125
ABOUBACAR,Homme,2018,115
ABOUBACAR,Homme,2017,106
ACHILLE,Homme,2020,564
ACHILLE,Homme,2019,510
ACHILLE,Homme,2018,468
ACHILLE,Homme,2017,457
ACHILLE,Homme,2016,391
ACHILLE,Homme,2015,373
ACHILLE,Homme,2014,354
ACHILLE,Homme,2013,375
ACHILLE,Homme,2012,379
ACHILLE,Homme,2011,396
ACHILLE,Homme,2010,425
ACHILLE,Homme,2009,357
ACHILLE,Homme,2008,340
ACHILLE,Homme,2007,340
ACHILLE,Homme,2006,299
ACHILLE,Homme,2005,239
ACHILLE,Homme,2004,201
ACHILLE,Homme,2003,172
ACHILLE,Homme,2002,122
ACHILLE,Homme,2001,142
ACHILLE,Homme,2000,114
ACHILLE,Homme,1999,122
ACHILLE,Homme,1998,107
ACHILLE,Homme,1933,101
ACHILLE,Homme,1932,116
ACHILLE,Homme,1931,121
ACHILLE,Homme,1930,117
ACHILLE,Homme,1929,127
ACHILLE,Homme,1928,149
ACHILLE,Homme,1927,127
ACHILLE,Homme,1926,140
ACHILLE,Homme,1925,158
ACHILLE,Homme,1924,154
ACHILLE,Homme,1923,165
ACHILLE,Homme,1922,193
ACHILLE,Homme,1921,216
ACHILLE,Homme,1920,266
ACHILLE,Homme,1919,140
ACHILLE,Homme,1918,127
ACHILLE,Homme,1917,113
ACHILLE,Homme,1916,106
ACHILLE,Homme,1915,159
ACHILLE,Homme,1914,205
ACHILLE,Homme,1913,177
ACHILLE,Homme,1912,227
ACHILLE,Homme,1911,215
ACHILLE,Homme,1910,268
ACHILLE,Homme,1909,243
ACHILLE,Homme,1908,265
ACHILLE,Homme,1907,215
ACHILLE,Homme,1906,261
ACHILLE,Homme,1905,234
ACHILLE,Homme,1904,226
ACHILLE,Homme,1903,234
ACHILLE,Homme,1902,251
ACHILLE,Homme,1901,256
ACHILLE,Homme,1900,205
ADAM,Homme,2020,3386
ADAM,Homme,2019,3670
ADAM,Homme,2018,3897
ADAM,Homme,2017,4181
ADAM,Homme,2016,4654
ADAM,Homme,2015,4531
ADAM,Homme,2014,4554
ADAM,Homme,2013,4388
ADAM,Homme,2012,4150
ADAM,Homme,2011,3656
ADAM,Homme,2010,3418
ADAM,Homme,2009,3266
ADAM,Homme,2008,3131
ADAM,Homme,2007,2761
ADAM,Homme,2006,2342
ADAM,Homme,2005,1884
ADAM,Homme,2004,1593
ADAM,Homme,2003,1282
ADAM,Homme,2002,1109
ADAM,Homme,2001,927
ADAM,Homme,2000,834
ADAM,Homme,1999,721
ADAM,Homme,1998,597
ADAM,Homme,1997,513
ADAM,Homme,1996,556
ADAM,Homme,1995,426
ADAM,Homme,1994,357
ADAM,Homme,1993,302
ADAM,Homme,1992,241
ADAM,Homme,1991,231
ADAM,Homme,1990,180
ADAM,Homme,1989,154
ADAM,Homme,1988,157
ADAM,Homme,1987,107
ADAM,Homme,1986,108
ADAM,Homme,1985,117
ADAMA,Homme,2020,111
ADAMA,Homme,2018,106
ADAME,Homme,2013,101
ADAME,Homme,2012,110
ADAME,Homme,2011,120
ADAME,Homme,2010,116
ADAME,Homme,2009,144
ADAME,Homme,2008,117
ADAME,Homme,2007,122
ADEL,Homme,2020,195
ADEL,Homme,2019,203
ADEL,Homme,2018,196
ADEL,Homme,2017,208
ADEL,Homme,2016,236
ADEL,Homme,2015,293
ADEL,Homme,2014,248
ADEL,Homme,2013,278
ADEL,Homme,2012,263
ADEL,Homme,2011,212
ADEL,Homme,2010,222
ADEL,Homme,2009,228
ADEL,Homme,2008,243
ADEL,Homme,2007,245
ADEL,Homme,2006,264
ADEL,Homme,2005,237
ADEL,Homme,2004,234
ADEL,Homme,2003,245
ADEL,Homme,2002,229
ADEL,Homme,2001,274
ADEL,Homme,2000,281
ADEL,Homme,1999,295
ADEL,Homme,1998,365
ADEL,Homme,1997,271
ADEL,Homme,1996,165
ADEL,Homme,1995,168
ADEL,Homme,1994,130
ADEL,Homme,1993,117
ADEL,Homme,1992,117
ADEL,Homme,1991,103
ADEL,Homme,1990,103
ADEL,Homme,1989,111
ADEL,Homme,1988,108
ADEL,Homme,1983,101
ADEL,Homme,1982,114
ADEL,Homme,1981,109
ADEL,Homme,1980,111
ADEL,Homme,1979,103
ADELAÏDE,Femme,2020,111
ADELAÏDE,Femme,2019,121
ADELAÏDE,Femme,2018,106
ADELAÏDE,Femme,2017,106
ADELAÏDE,Femme,2016,101
ADELAIDE,Femme,2008,107
ADELAIDE,Femme,2007,102
ADELAIDE,Femme,2006,120
ADELAIDE,Femme,2005,131
ADELAIDE,Femme,2004,101
ADELAIDE,Femme,2003,127
ADELAIDE,Femme,2002,120
ADELAIDE,Femme,2001,127
ADELAIDE,Femme,2000,170
ADELAIDE,Femme,1999,152
ADELAIDE,Femme,1998,101
ADELAIDE,Femme,1997,110
ADELAIDE,Femme,1996,142
ADELAIDE,Femme,1995,188
ADELAIDE,Femme,1994,170
ADELAIDE,Femme,1993,188
ADELAIDE,Femme,1992,215
ADELAIDE,Femme,1991,203
ADELAIDE,Femme,1990,206
ADELAIDE,Femme,1989,246
ADELAIDE,Femme,1988,209
ADELAIDE,Femme,1987,345
ADELAIDE,Femme,1986,199
ADELAIDE,Femme,1985,113
ADELAIDE,Femme,1984,119
ADELAIDE,Femme,1983,143
ADELAIDE,Femme,1982,140
ADELAIDE,Femme,1981,148
ADELAIDE,Femme,1980,122
ADELAIDE,Femme,1979,144
ADELAIDE,Femme,1914,102
ADELAIDE,Femme,1913,130
ADELAIDE,Femme,1912,142
ADELAIDE,Femme,1911,147
ADELAIDE,Femme,1910,146
ADELAIDE,Femme,1909,143
ADELAIDE,Femme,1908,146
ADELAIDE,Femme,1907,159
ADELAIDE,Femme,1906,170
ADELAIDE,Femme,1905,152
ADELAIDE,Femme,1904,166
ADELAIDE,Femme,1903,177
ADELAIDE,Femme,1902,172
ADELAIDE,Femme,1901,188
ADELAIDE,Femme,1900,194
ADELE,Femme,2020,1558
ADELE,Femme,2019,1579
ADELE,Femme,2018,1493
ADELE,Femme,2017,1279
ADELE,Femme,2016,1168
ADELE,Femme,2016,121
ADELE,Femme,2015,1298
ADELE,Femme,2015,227
ADELE,Femme,2014,1225
ADELE,Femme,2014,295
ADELE,Femme,2013,1179
ADELE,Femme,2012,1083
ADELE,Femme,2012,154
ADELE,Femme,2011,677
ADELE,Femme,2011,320
ADELE,Femme,2010,502
ADELE,Femme,2010,292
ADELE,Femme,2009,726
ADELE,Femme,2008,732
ADELE,Femme,2007,760
ADELE,Femme,2006,774
ADELE,Femme,2005,757
ADELE,Femme,2004,706
ADELE,Femme,2003,718
ADELE,Femme,2002,646
ADELE,Femme,2001,633
ADELE,Femme,2000,586
ADELE,Femme,1999,586
ADELE,Femme,1998,487
ADELE,Femme,1997,528
ADELE,Femme,1996,449
ADELE,Femme,1995,479
ADELE,Femme,1994,376
ADELE,Femme,1993,355
ADELE,Femme,1992,370
ADELE,Femme,1991,342
ADELE,Femme,1990,277
ADELE,Femme,1989,232
ADELE,Femme,1988,192
ADELE,Femme,1987,169
ADELE,Femme,1986,157
ADELE,Femme,1985,177
ADELE,Femme,1984,123
ADELE,Femme,1939,144
ADELE,Femme,1938,109
ADELE,Femme,1937,160
ADELE,Femme,1936,175
ADELE,Femme,1935,192
ADELE,Femme,1934,196
ADELE,Femme,1933,210
ADELE,Femme,1932,237
ADELE,Femme,1931,215
ADELE,Femme,1930,250
ADELE,Femme,1929,270
ADELE,Femme,1928,283
ADELE,Femme,1927,333
ADELE,Femme,1926,276
ADELE,Femme,1925,349
ADELE,Femme,1924,360
ADELE,Femme,1923,328
ADELE,Femme,1922,342
ADELE,Femme,1921,397
ADELE,Femme,1920,390
ADELE,Femme,1919,280
ADELE,Femme,1918,226
ADELE,Femme,1917,203
ADELE,Femme,1916,193
ADELE,Femme,1915,279
ADELE,Femme,1914,448
ADELE,Femme,1913,501
ADELE,Femme,1912,556
ADELE,Femme,1911,476
ADELE,Femme,1910,584
ADELE,Femme,1909,514
ADELE,Femme,1908,637
ADELE,Femme,1907,579
ADELE,Femme,1906,562
ADELE,Femme,1905,621
ADELE,Femme,1904,583
ADELE,Femme,1903,645
ADELE,Femme,1902,680
ADELE,Femme,1901,625
ADELE,Femme,1900,661
ADELIE,Femme,2020,106
ADELIE,Femme,2019,103
ADELINE,Femme,2011,106
ADELINE,Femme,2010,115
ADELINE,Femme,2009,157
ADELINE,Femme,2008,168
ADELINE,Femme,2007,179
ADELINE,Femme,2006,226
ADELINE,Femme,2005,275
ADELINE,Femme,2004,282
ADELINE,Femme,2003,320
ADELINE,Femme,2002,453
ADELINE,Femme,2001,514
ADELINE,Femme,2000,641
ADELINE,Femme,1999,695
ADELINE,Femme,1998,811
ADELINE,Femme,1997,882
ADELINE,Femme,1996,1103
ADELINE,Femme,1995,1484
ADELINE,Femme,1994,1917
ADELINE,Femme,1993,1945
ADELINE,Femme,1992,2630
ADELINE,Femme,1991,3219
ADELINE,Femme,1990,2586
ADELINE,Femme,1989,1812
ADELINE,Femme,1988,1812
ADELINE,Femme,1987,1904
ADELINE,Femme,1986,2106
ADELINE,Femme,1985,2027
ADELINE,Femme,1984,1998
ADELINE,Femme,1983,1957
ADELINE,Femme,1982,2196
ADELINE,Femme,1981,2411
ADELINE,Femme,1980,2447
ADELINE,Femme,1979,1516
ADELINE,Femme,1978,1130
ADELINE,Femme,1977,790
ADELINE,Femme,1976,460
ADELINE,Femme,1975,351
ADELINE,Femme,1974,223
ADELINE,Femme,1973,197
ADELINE,Femme,1972,228
ADELINE,Femme,1971,245
ADELINE,Femme,1970,192
ADELINE,Femme,1969,172
ADELINE,Femme,1968,117
ADELINE,Femme,1967,151
ADELINE,Femme,1966,102
ADELINE,Femme,1960,107
ADELINE,Femme,1928,101
ADELINE,Femme,1927,104
ADELINE,Femme,1926,116
ADELINE,Femme,1925,120
ADELINE,Femme,1924,101
ADELINE,Femme,1922,116
ADELINE,Femme,1921,120
ADELINE,Femme,1920,142
ADELINE,Femme,1914,150
ADELINE,Femme,1913,166
ADELINE,Femme,1912,156
ADELINE,Femme,1911,158
ADELINE,Femme,1910,174
ADELINE,Femme,1909,168
ADELINE,Femme,1908,198
ADELINE,Femme,1907,182
ADELINE,Femme,1906,179
ADELINE,Femme,1905,215
ADELINE,Femme,1904,227
ADELINE,Femme,1903,227
ADELINE,Femme,1902,204
ADELINE,Femme,1901,218
ADELINE,Femme,1900,224
ADEM,Homme,2020,694
ADEM,Homme,2019,760
ADEM,Homme,2018,773
ADEM,Homme,2017,750
ADEM,Homme,2016,768
ADEM,Homme,2015,754
ADEM,Homme,2014,751
ADEM,Homme,2013,652
ADEM,Homme,2012,648
ADEM,Homme,2011,542
ADEM,Homme,2010,421
ADEM,Homme,2009,394
ADEM,Homme,2008,364
ADEM,Homme,2007,321
ADEM,Homme,2006,291
ADEM,Homme,2005,234
ADEM,Homme,2004,188
ADEM,Homme,2003,160
ADEM,Homme,2002,152
ADIL,Homme,2019,144
ADIL,Homme,2018,156
ADIL,Homme,2017,146
ADIL,Homme,2016,132
ADIL,Homme,2015,136
ADIL,Homme,2014,145
ADIL,Homme,2013,149
ADIL,Homme,2012,141
ADIL,Homme,2011,164
ADIL,Homme,2010,145
ADIL,Homme,2009,146
ADIL,Homme,2008,134
ADIL,Homme,2007,125
ADIL,Homme,2006,118
ADIL,Homme,2005,108
ADIL,Homme,2004,122
ADIL,Homme,2003,135
ADIL,Homme,2002,112
ADIL,Homme,2001,106
ADIL,Homme,2000,107
ADIL,Homme,1999,126
ADIL,Homme,1998,109
ADIL,Homme,1986,102
ADIL,Homme,1985,117
ADIL,Homme,1983,105
ADIL,Homme,1982,132
ADIL,Homme,1981,127
ADIL,Homme,1980,147
ADIL,Homme,1979,122
ADIL,Homme,1978,126
ADOLPHE,Homme,1941,126
ADOLPHE,Homme,1940,102
ADOLPHE,Homme,1939,117
ADOLPHE,Homme,1938,112
ADOLPHE,Homme,1937,139
ADOLPHE,Homme,1936,161
ADOLPHE,Homme,1935,186
ADOLPHE,Homme,1934,174
ADOLPHE,Homme,1933,212
ADOLPHE,Homme,1932,239
ADOLPHE,Homme,1931,289
ADOLPHE,Homme,1930,281
ADOLPHE,Homme,1929,277
ADOLPHE,Homme,1928,312
ADOLPHE,Homme,1927,311
ADOLPHE,Homme,1926,309
ADOLPHE,Homme,1925,366
ADOLPHE,Homme,1924,317
ADOLPHE,Homme,1923,333
ADOLPHE,Homme,1922,389
ADOLPHE,Homme,1921,416
ADOLPHE,Homme,1920,446
ADOLPHE,Homme,1919,272
ADOLPHE,Homme,1918,287
ADOLPHE,Homme,1917,253
ADOLPHE,Homme,1916,259
ADOLPHE,Homme,1915,340
ADOLPHE,Homme,1914,496
ADOLPHE,Homme,1913,539
ADOLPHE,Homme,1912,511
ADOLPHE,Homme,1911,506
ADOLPHE,Homme,1910,584
ADOLPHE,Homme,1909,584
ADOLPHE,Homme,1908,593
ADOLPHE,Homme,1907,588
ADOLPHE,Homme,1906,554
ADOLPHE,Homme,1905,560
ADOLPHE,Homme,1904,540
ADOLPHE,Homme,1903,545
ADOLPHE,Homme,1902,560
ADOLPHE,Homme,1901,575
ADOLPHE,Homme,1900,495
ADOLPHINE,Femme,1905,102
ADOLPHINE,Femme,1903,102
ADOLPHINE,Femme,1902,102
ADOLPHINE,Femme,1901,117
ADONIS,Homme,2019,114
ADRIAN,Homme,2020,180
ADRIAN,Homme,2019,211
ADRIAN,Homme,2018,155
ADRIAN,Homme,2017,167
ADRIAN,Homme,2016,168
ADRIAN,Homme,2015,151
ADRIAN,Homme,2014,144
ADRIAN,Homme,2013,163
ADRIAN,Homme,2012,131
ADRIAN,Homme,2011,159
ADRIAN,Homme,2010,129
ADRIAN,Homme,2009,115
ADRIAN,Homme,2008,132
ADRIAN,Homme,2007,101
ADRIAN,Homme,2006,136
ADRIAN,Homme,2005,135
ADRIAN,Homme,2004,139
ADRIAN,Homme,2003,126
ADRIAN,Homme,2002,129
ADRIAN,Homme,2001,127
ADRIAN,Homme,2000,165
ADRIAN,Homme,1999,133
ADRIAN,Homme,1998,159
ADRIAN,Homme,1997,185
ADRIAN,Homme,1996,142
ADRIAN,Homme,1995,162
ADRIAN,Homme,1994,155
ADRIAN,Homme,1993,122
ADRIAN,Homme,1992,134
ADRIAN,Homme,1991,146
ADRIAN,Homme,1990,134
ADRIAN,Homme,1989,120
ADRIAN,Homme,1988,132
ADRIAN,Homme,1987,114
ADRIAN,Homme,1986,117
ADRIANA,Femme,2019,103
ADRIANA,Femme,2016,116
ADRIANA,Femme,2014,119
ADRIANA,Femme,2010,110
ADRIANA,Femme,2008,111
ADRIANA,Femme,2006,119
ADRIANA,Femme,2005,105
ADRIANA,Femme,2003,103
ADRIANA,Femme,2002,125
ADRIANA,Femme,2001,141
ADRIANA,Femme,2000,166
ADRIANA,Femme,1999,131
ADRIANO,Homme,2014,110
ADRIANO,Homme,2013,126
ADRIEN,Homme,2020,647
ADRIEN,Homme,2019,720
ADRIEN,Homme,2018,785
ADRIEN,Homme,2017,866
ADRIEN,Homme,2016,891
ADRIEN,Homme,2015,968
ADRIEN,Homme,2014,1145
ADRIEN,Homme,2013,1061
ADRIEN,Homme,2012,1303
ADRIEN,Homme,2011,1342
ADRIEN,Homme,2010,1350
ADRIEN,Homme,2009,1502
ADRIEN,Homme,2008,1575
ADRIEN,Homme,2007,1765
ADRIEN,Homme,2006,2022
ADRIEN,Homme,2005,2164
ADRIEN,Homme,2004,2348
ADRIEN,Homme,2003,2406
ADRIEN,Homme,2002,2856
ADRIEN,Homme,2001,3397
ADRIEN,Homme,2000,3635
ADRIEN,Homme,1999,3644
ADRIEN,Homme,1998,3619
ADRIEN,Homme,1997,3910
ADRIEN,Homme,1996,3627
ADRIEN,Homme,1995,3915
ADRIEN,Homme,1994,3917
ADRIEN,Homme,1993,3481
ADRIEN,Homme,1992,3853
ADRIEN,Homme,1991,4356
ADRIEN,Homme,1990,4222
ADRIEN,Homme,1989,4174
ADRIEN,Homme,1988,4201
ADRIEN,Homme,1987,3913
ADRIEN,Homme,1986,3682
ADRIEN,Homme,1985,3034
ADRIEN,Homme,1984,2228
ADRIEN,Homme,1983,1774
ADRIEN,Homme,1982,1770
ADRIEN,Homme,1981,1705
ADRIEN,Homme,1980,1124
ADRIEN,Homme,1979,672
ADRIEN,Homme,1978,485
ADRIEN,Homme,1977,343
ADRIEN,Homme,1976,251
ADRIEN,Homme,1975,147
ADRIEN,Homme,1974,104
ADRIEN,Homme,1973,105
ADRIEN,Homme,1972,117
ADRIEN,Homme,1971,101
ADRIEN,Homme,1962,102
ADRIEN,Homme,1960,127
ADRIEN,Homme,1958,119
ADRIEN,Homme,1956,110
ADRIEN,Homme,1955,146
ADRIEN,Homme,1954,153
ADRIEN,Homme,1953,168
ADRIEN,Homme,1952,176
ADRIEN,Homme,1951,171
ADRIEN,Homme,1950,180
ADRIEN,Homme,1949,198
ADRIEN,Homme,1948,214
ADRIEN,Homme,1947,184
ADRIEN,Homme,1946,194
ADRIEN,Homme,1945,167
ADRIEN,Homme,1944,159
ADRIEN,Homme,1943,175
ADRIEN,Homme,1942,203
ADRIEN,Homme,1941,189
ADRIEN,Homme,1940,263
ADRIEN,Homme,1939,266
ADRIEN,Homme,1938,309
ADRIEN,Homme,1937,343
ADRIEN,Homme,1936,369
ADRIEN,Homme,1935,341
ADRIEN,Homme,1934,421
ADRIEN,Homme,1933,425
ADRIEN,Homme,1932,455
ADRIEN,Homme,1931,480
ADRIEN,Homme,1930,523
ADRIEN,Homme,1929,584
ADRIEN,Homme,1928,640
ADRIEN,Homme,1927,674
ADRIEN,Homme,1926,670
ADRIEN,Homme,1925,787
ADRIEN,Homme,1924,754
ADRIEN,Homme,1923,837
ADRIEN,Homme,1922,867
ADRIEN,Homme,1921,983
ADRIEN,Homme,1920,994
ADRIEN,Homme,1919,609
ADRIEN,Homme,1918,598
ADRIEN,Homme,1917,554
ADRIEN,Homme,1916,513
ADRIEN,Homme,1915,682
ADRIEN,Homme,1914,979
ADRIEN,Homme,1913,1013
ADRIEN,Homme,1912,1108
ADRIEN,Homme,1911,952
ADRIEN,Homme,1910,1088
ADRIEN,Homme,1909,1048
ADRIEN,Homme,1908,1058
ADRIEN,Homme,1907,1034
ADRIEN,Homme,1906,1034
ADRIEN,Homme,1905,981
ADRIEN,Homme,1904,1018
ADRIEN,Homme,1903,987
ADRIEN,Homme,1902,972
ADRIEN,Homme,1901,926
ADRIEN,Homme,1900,848
ADRIENNE,Femme,1952,117
ADRIENNE,Femme,1951,112
ADRIENNE,Femme,1950,114
ADRIENNE,Femme,1949,134
ADRIENNE,Femme,1948,123
ADRIENNE,Femme,1947,141
ADRIENNE,Femme,1946,140
ADRIENNE,Femme,1945,109
ADRIENNE,Femme,1944,111
ADRIENNE,Femme,1943,125
ADRIENNE,Femme,1942,159
ADRIENNE,Femme,1941,141
ADRIENNE,Femme,1940,201
ADRIENNE,Femme,1939,225
ADRIENNE,Femme,1938,244
ADRIENNE,Femme,1937,249
ADRIENNE,Femme,1936,307
ADRIENNE,Femme,1935,307
ADRIENNE,Femme,1934,341
ADRIENNE,Femme,1933,376
ADRIENNE,Femme,1932,432
ADRIENNE,Femme,1931,458
ADRIENNE,Femme,1930,518
ADRIENNE,Femme,1929,534
ADRIENNE,Femme,1928,600
ADRIENNE,Femme,1927,614
ADRIENNE,Femme,1926,683
ADRIENNE,Femme,1925,729
ADRIENNE,Femme,1924,772
ADRIENNE,Femme,1923,863
ADRIENNE,Femme,1922,885
ADRIENNE,Femme,1921,1074
ADRIENNE,Femme,1920,1043
ADRIENNE,Femme,1919,677
ADRIENNE,Femme,1918,685
ADRIENNE,Femme,1917,559
ADRIENNE,Femme,1916,510
ADRIENNE,Femme,1915,690
ADRIENNE,Femme,1914,1081
ADRIENNE,Femme,1913,1167
ADRIENNE,Femme,1912,1107
ADRIENNE,Femme,1911,1115
ADRIENNE,Femme,1910,1228
ADRIENNE,Femme,1909,1190
ADRIENNE,Femme,1908,1194
ADRIENNE,Femme,1907,1136
ADRIENNE,Femme,1906,1183
ADRIENNE,Femme,1905,1180
ADRIENNE,Femme,1904,1099
ADRIENNE,Femme,1903,1195
ADRIENNE,Femme,1902,1138
ADRIENNE,Femme,1901,1087
ADRIENNE,Femme,1900,1032
AEDAN,Homme,2017,126
AEDAN,Homme,2016,117
AGATHE,Femme,2020,1927
AGATHE,Femme,2019,1913
AGATHE,Femme,2018,1959
AGATHE,Femme,2017,1787
AGATHE,Femme,2016,1622
AGATHE,Femme,2015,1572
AGATHE,Femme,2014,1446
AGATHE,Femme,2013,1380
AGATHE,Femme,2012,1372
AGATHE,Femme,2011,1309
AGATHE,Femme,2010,1193
AGATHE,Femme,2009,1206
AGATHE,Femme,2008,1199
AGATHE,Femme,2007,1262
AGATHE,Femme,2006,1324
AGATHE,Femme,2005,1323
AGATHE,Femme,2004,1370
AGATHE,Femme,2003,1413
AGATHE,Femme,2002,1428
AGATHE,Femme,2001,1404
AGATHE,Femme,2000,1508
AGATHE,Femme,1999,1377
AGATHE,Femme,1998,1371
AGATHE,Femme,1997,1281
AGATHE,Femme,1996,1244
AGATHE,Femme,1995,986
AGATHE,Femme,1994,954
AGATHE,Femme,1993,920
AGATHE,Femme,1992,943
AGATHE,Femme,1991,881
AGATHE,Femme,1990,773
AGATHE,Femme,1989,718
AGATHE,Femme,1988,685
AGATHE,Femme,1987,635
AGATHE,Femme,1986,525
AGATHE,Femme,1985,458
AGATHE,Femme,1984,400
AGATHE,Femme,1983,348
AGATHE,Femme,1982,321
AGATHE,Femme,1981,296
