CODE CLIENT;MEDIA;JOUR;HORAIRE;REDUCTION
436356;MAIL;Samedi;Matin;10%
91641;MAIL;Samedi;Matin;10%
4116;SMS;Mercredi;Matin;Aucune
304010;CALL;Mercredi;Matin;Aucune
120917;MAIL;Samedi;Matin;10%
405491;SMS;Mercredi;Midi;Aucune
488663;MAIL;Samedi;Matin;10%
123142;MAIL;Samedi;Matin;10%
405482;MAIL;Samedi;Matin;10%
465094;MAIL;Samedi;Matin;10%
465150;MAIL;Samedi;Matin;10%
432834;MAIL;Samedi;Matin;10%
472541;MAIL;Samedi;Matin;10%
390150;CALL;Mercredi;Matin;Aucune
465200;MAIL;Samedi;Matin;10%
634702;MAIL;Samedi;Matin;10%
107908;MAIL;Samedi;Matin;10%
394633;MAIL;Mercredi;Midi;Aucune
456558;CALL;Mercredi;Matin;10%
628907;MAIL;Samedi;Matin;10 euros
38440;SMS;Mercredi;Matin;Aucune
162442;MAIL;Mercredi;Matin;10%
39253;MAIL;Samedi;Matin;10 euros
646028;CALL;Mercredi;Matin;Aucune
473993;MAIL;Mercredi;Midi;Aucune
27302;SMS;Mercredi;Matin;Aucune
292825;MAIL;Samedi;Matin;10 euros
377589;SMS;Mercredi;Matin;10%
485871;CALL;Mercredi;Midi;Aucune
465230;MAIL;Samedi;Matin;5 euros
8470;MAIL;Samedi;Matin;10 euros
463664;SMS;Mercredi;Matin;Aucune
457593;MAIL;Samedi;Matin;10 euros
513483;CALL;Mercredi;Matin;Aucune
467382;SMS;Mercredi;Matin;Aucune
21430;SMS;Mercredi;Matin;Aucune
380050;SMS;Mercredi;Matin;Aucune
465120;SMS;Mercredi;Matin;Aucune
97714;MAIL;Mercredi;Matin;10%
5986;CALL;Samedi;Midi;Aucune
105355;SMS;Mercredi;Midi;10 euros
407862;CALL;Samedi;Midi;Aucune
487474;SMS;Mercredi;Midi;Aucune
119755;CALL;Samedi;Matin;Aucune
465145;SMS;Mercredi;Midi;Aucune
440405;MAIL;Mercredi;Midi;10 euros
358863;MAIL;Samedi;Matin;10%
486322;SMS;Mercredi;Matin;Aucune
517474;SMS;Mercredi;Matin;Aucune
430229;MAIL;Samedi;Matin;5 euros
439312;CALL;Mercredi;Midi;Aucune
523685;MAIL;Samedi;Matin;10 euros
117580;MAIL;Samedi;Matin;10 euros
396156;MAIL;Samedi;Matin;10 euros
407436;MAIL;Samedi;Matin;5 euros
163867;CALL;Mercredi;Matin;Aucune
602822;SMS;Mercredi;Matin;Aucune
661170;MAIL;Samedi;Matin;10 euros
465103;SMS;Mercredi;Matin;Aucune
462889;MAIL;Samedi;Matin;10 euros
433561;CALL;Mercredi;Midi;Aucune
571994;MAIL;Samedi;Matin;5 euros
631969;CALL;Mercredi;Matin;Aucune
414337;MAIL;Samedi;Matin;10 euros
434996;CALL;Mercredi;Matin;10%
499384;CALL;Mercredi;Matin;10%
446474;MAIL;Samedi;Matin;10%
443686;MAIL;Samedi;Matin;10 euros
463803;MAIL;Samedi;Matin;10 euros
106290;MAIL;Samedi;Matin;5 euros
480322;SMS;Mercredi;Matin;Aucune
359931;SMS;Mercredi;Matin;Aucune
457654;CALL;Mercredi;Matin;Aucune
500154;SMS;Mercredi;Matin;Aucune
133385;MAIL;Samedi;Matin;10%
508935;MAIL;Samedi;Matin;10%
549981;CALL;Mercredi;Midi;5 euros
457714;MAIL;Samedi;Matin;10%
628247;CALL;Mercredi;Midi;5 euros
8342;MAIL;Samedi;Matin;10 euros
13098;SMS;Mercredi;Midi;Aucune
500350;SMS;Mercredi;Matin;Aucune
659279;CALL;Mercredi;Midi;5 euros
512887;CALL;Mercredi;Midi;Aucune
4281;MAIL;Samedi;Matin;10%
289984;MAIL;Samedi;Matin;10%
457149;SMS;Mercredi;Matin;Aucune
429149;SMS;Mercredi;Matin;Aucune
476116;CALL;Mercredi;Matin;10%
131923;CALL;Mercredi;Midi;Aucune
493008;SMS;Mercredi;Matin;Aucune
416431;CALL;Mercredi;Matin;Aucune
35507;CALL;Mercredi;Midi;Aucune
572005;SMS;Mercredi;Matin;Aucune
513678;SMS;Mercredi;Matin;10%
645036;CALL;Mercredi;Matin;Aucune
119596;SMS;Mercredi;Matin;Aucune
490220;SMS;Mercredi;Matin;Aucune
441212;MAIL;Samedi;Matin;5 euros
52099;MAIL;Mercredi;Matin;10%
135727;SMS;Mercredi;Matin;Aucune
474430;SMS;Mercredi;Matin;Aucune
487458;SMS;Mercredi;Matin;Aucune
165904;SMS;Mercredi;Matin;Aucune
480333;MAIL;Samedi;Matin;10 euros
155990;MAIL;Samedi;Matin;5 euros
81427;MAIL;Samedi;Matin;10%
446305;SMS;Mercredi;Matin;Aucune
480028;MAIL;Samedi;Matin;10 euros
154617;MAIL;Samedi;Matin;10%
495709;SMS;Mercredi;Matin;Aucune
507423;MAIL;Samedi;Matin;10 euros
130907;CALL;Mercredi;Midi;Aucune
603057;SMS;Mercredi;Midi;10%
629121;CALL;Samedi;Midi;Aucune
132438;CALL;Mercredi;Midi;Aucune
456367;SMS;Mercredi;Matin;Aucune
443088;SMS;Mercredi;Midi;Aucune
465138;CALL;Samedi;Midi;Aucune
646913;SMS;Mercredi;Midi;Aucune
274507;CALL;Mercredi;Midi;10 euros
354856;CALL;Mercredi;Midi;Aucune
469756;MAIL;Samedi;Matin;5 euros
93464;SMS;Mercredi;Midi;Aucune
149381;CALL;Mercredi;Matin;10%
180665;MAIL;Mercredi;Midi;Aucune
461501;CALL;Mercredi;Matin;10%
54367;SMS;Mercredi;Matin;10%
308187;MAIL;Samedi;Matin;10 euros
329860;MAIL;Samedi;Matin;10%
276173;CALL;Lundi;Midi;10%
179520;CALL;Mercredi;Matin;Aucune
101740;SMS;Mercredi;Midi;10%
266;SMS;Mercredi;Midi;Aucune
10022;MAIL;Samedi;Midi;10 euros
308277;SMS;Mercredi;Midi;Aucune
360289;SMS;Mercredi;Midi;Aucune
337879;CALL;Mercredi;Midi;Aucune
41588;SMS;Samedi;Midi;5 euros
154200;SMS;Mercredi;Matin;Aucune
302089;SMS;Mercredi;Midi;Aucune
91679;CALL;Samedi;Midi;Aucune
82278;SMS;Mercredi;Midi;Aucune
162416;SMS;Mercredi;Matin;Aucune
5376;SMS;Mercredi;Midi;10 euros
124959;SMS;Mercredi;Matin;Aucune
107916;MAIL;Mercredi;Midi;10 euros
297920;SMS;Mercredi;Midi;Aucune
277797;SMS;Mercredi;Matin;Aucune
92888;SMS;Mercredi;Matin;Aucune
299295;SMS;Mercredi;Matin;Aucune
57503;CALL;Mercredi;Midi;Aucune
79643;SMS;Mercredi;Matin;Aucune
101292;CALL;Mercredi;Matin;Aucune
255455;MAIL;Mercredi;Matin;10%
154693;SMS;Mercredi;Matin;Aucune
157507;MAIL;Mercredi;Midi;5 euros
285654;MAIL;Samedi;Matin;5 euros
97332;MAIL;Mercredi;Midi;10 euros
408520;SMS;Samedi;Matin;10%
210816;SMS;Mercredi;Matin;Aucune
89993;MAIL;Samedi;Matin;10%
308343;CALL;Mercredi;Midi;10%
13180;CALL;Mercredi;Midi;10%
337960;CALL;Mercredi;Matin;10%
183536;CALL;Mercredi;Matin;Aucune
221720;SMS;Mercredi;Matin;10%
363882;MAIL;Samedi;Matin;5 euros
299422;MAIL;Samedi;Matin;5 euros
369780;SMS;Mercredi;Matin;10%
33410;MAIL;Samedi;Matin;10 euros
45266;MAIL;Samedi;Matin;10 euros
258727;CALL;Mercredi;Matin;10%
88191;SMS;Mercredi;Matin;Aucune
400938;MAIL;Mercredi;Midi;Aucune
57192;CALL;Mercredi;Matin;10%
173151;CALL;Mercredi;Matin;10%
628241;MAIL;Samedi;Matin;10%
372814;MAIL;Samedi;Matin;10%
428443;MAIL;Samedi;Matin;10%
440188;SMS;Mercredi;Matin;Aucune
382436;CALL;Mercredi;Midi;5 euros
527425;MAIL;Samedi;Matin;10 euros
157500;CALL;Mercredi;Midi;10%
173410;CALL;Samedi;Matin;10%
52634;SMS;Mercredi;Matin;10%
271202;MAIL;Samedi;Matin;10%
109108;SMS;Mercredi;Midi;Aucune
133627;SMS;Mercredi;Midi;Aucune
272971;MAIL;Samedi;Matin;10%
23868;MAIL;Samedi;Matin;10 euros
460021;MAIL;Samedi;Matin;10%
62854;MAIL;Mercredi;Midi;Aucune
145125;CALL;Mercredi;Matin;Aucune
327737;CALL;Mercredi;Midi;Aucune
55892;MAIL;Samedi;Matin;10 euros
411883;MAIL;Samedi;Matin;5 euros
156037;MAIL;Samedi;Matin;10%
141750;MAIL;Samedi;Matin;5 euros
109083;MAIL;Samedi;Matin;5 euros
547159;MAIL;Samedi;Matin;10%
57580;SMS;Mercredi;Matin;Aucune
180574;MAIL;Samedi;Matin;10 euros
441343;MAIL;Samedi;Matin;10%
458569;MAIL;Samedi;Matin;10 euros
136944;SMS;Mercredi;Matin;Aucune
319902;CALL;Mercredi;Matin;Aucune
38466;MAIL;Samedi;Matin;10%
106233;CALL;Mercredi;Midi;Aucune
269670;MAIL;Samedi;Matin;5 euros
40684;MAIL;Samedi;Matin;10 euros
14855;MAIL;Samedi;Matin;10 euros
311893;CALL;Mercredi;Matin;Aucune
57644;MAIL;Samedi;Matin;5 euros
45027;SMS;Mercredi;Matin;10%
3518;MAIL;Samedi;Matin;10%
168818;MAIL;Samedi;Matin;5 euros
174627;MAIL;Samedi;Matin;10 euros
157541;MAIL;Mercredi;Midi;Aucune
157598;MAIL;Samedi;Matin;10 euros
308895;SMS;Mercredi;Matin;Aucune
428993;MAIL;Samedi;Matin;10 euros
109185;MAIL;Samedi;Matin;5 euros
105321;MAIL;Samedi;Matin;5 euros
167255;MAIL;Samedi;Matin;5 euros
327735;CALL;Mercredi;Midi;Aucune
133686;MAIL;Samedi;Matin;10 euros
301514;SMS;Mercredi;Matin;Aucune
462509;CALL;Mercredi;Matin;Aucune
102898;MAIL;Samedi;Matin;10%
395011;MAIL;Samedi;Matin;10 euros
299846;SMS;Mercredi;Matin;Aucune
109068;MAIL;Samedi;Matin;5 euros
152534;CALL;Mercredi;Matin;Aucune
164448;SMS;Mercredi;Matin;Aucune
154888;MAIL;Samedi;Matin;10%
45416;MAIL;Samedi;Matin;5 euros
97825;MAIL;Samedi;Matin;5 euros
36446;MAIL;Samedi;Matin;10%
515882;MAIL;Samedi;Matin;5 euros
396695;SMS;Mercredi;Matin;Aucune
3053;CALL;Mercredi;Midi;Aucune
114848;MAIL;Samedi;Matin;10 euros
97793;MAIL;Samedi;Matin;10 euros
34330;MAIL;Samedi;Matin;5 euros
125117;MAIL;Samedi;Matin;5 euros
62666;MAIL;Samedi;Matin;10 euros
400743;CALL;Mercredi;Midi;Aucune
18827;MAIL;Samedi;Matin;5 euros
315217;MAIL;Samedi;Matin;5 euros
17658;MAIL;Samedi;Matin;5 euros
395819;MAIL;Samedi;Matin;5 euros
27445;CALL;Mercredi;Matin;10%
1165;SMS;Mercredi;Matin;Aucune
133731;MAIL;Samedi;Matin;5 euros
406710;SMS;Mercredi;Matin;Aucune
363841;MAIL;Samedi;Matin;5 euros
148520;MAIL;Samedi;Matin;10%
101249;MAIL;Samedi;Matin;5 euros
144487;SMS;Mercredi;Matin;Aucune
9614;MAIL;Samedi;Matin;5 euros
107296;SMS;Mercredi;Matin;Aucune
312959;MAIL;Samedi;Matin;5 euros
396845;MAIL;Samedi;Matin;5 euros
152551;MAIL;Samedi;Matin;10%
86578;SMS;Mercredi;Matin;Aucune
462478;CALL;Mercredi;Matin;10%
337812;SMS;Mercredi;Midi;Aucune
8190;SMS;Mercredi;Midi;Aucune
291435;MAIL;Samedi;Matin;5 euros
88774;MAIL;Samedi;Matin;5 euros
317079;MAIL;Samedi;Matin;10%
34533;CALL;Mercredi;Midi;Aucune
362421;CALL;Mercredi;Matin;Aucune
333660;MAIL;Samedi;Matin;5 euros
139932;MAIL;Samedi;Matin;5 euros
400767;CALL;Mercredi;Matin;10%
25280;MAIL;Samedi;Matin;5 euros
331174;CALL;Mercredi;Matin;Aucune
316930;CALL;Mercredi;Matin;Aucune
164905;SMS;Mercredi;Matin;Aucune
162296;MAIL;Samedi;Midi;10 euros
154635;MAIL;Samedi;Midi;10%
328910;CALL;Mercredi;Matin;10%
154615;SMS;Mercredi;Matin;Aucune
331507;MAIL;Samedi;Matin;10 euros
135691;SMS;Mercredi;Matin;Aucune
80373;CALL;Mercredi;Matin;Aucune
133253;MAIL;Samedi;Matin;5 euros
140607;MAIL;Mercredi;Matin;10%
362445;SMS;Samedi;Matin;10%
160753;SMS;Mercredi;Midi;10 euros
383802;SMS;Mercredi;Matin;Aucune
459254;SMS;Mercredi;Matin;Aucune
133341;SMS;Samedi;Matin;10%
444261;CALL;Mercredi;Midi;5 euros
455538;CALL;Mercredi;Matin;10%
106257;MAIL;Samedi;Matin;10%
63053;MAIL;Samedi;Midi;10 euros
91643;MAIL;Samedi;Matin;5 euros
304012;MAIL;Samedi;Matin;10%
146204;MAIL;Samedi;Matin;10 euros
253639;MAIL;Samedi;Midi;10 euros
338253;MAIL;Samedi;Midi;10%
57188;MAIL;Samedi;Matin;10%
221765;CALL;Samedi;Matin;Aucune
44959;CALL;Mercredi;Midi;Aucune
161217;CALL;Dimanche;Matin;Aucune
372471;MAIL;Samedi;Midi;5 euros
58781;MAIL;Samedi;Matin;10%
226779;SMS;Vendredi;Matin;Aucune
164617;MAIL;Samedi;Midi;5 euros
103890;SMS;Mercredi;Midi;Aucune
37410;MAIL;Samedi;Midi;10%
392783;MAIL;Samedi;Matin;5 euros
57483;CALL;Samedi;Midi;Aucune
3864;SMS;Mercredi;Matin;Aucune
430426;CALL;Samedi;Matin;10%
65937;MAIL;Samedi;Matin;10%
134455;CALL;Dimanche;Matin;10%
105218;SMS;Mercredi;Matin;Aucune
113828;MAIL;Samedi;Matin;5 euros
107826;CALL;Vendredi;Matin;10%
403969;CALL;Samedi;Matin;Aucune
257185;MAIL;Samedi;Matin;10 euros
473318;MAIL;Samedi;Matin;10%
307489;MAIL;Samedi;Matin;10%
440759;SMS;Samedi;Matin;Aucune
113838;MAIL;Dimanche;Midi;Aucune
106874;CALL;Vendredi;Matin;Aucune
257194;MAIL;Samedi;Matin;10%
108644;SMS;Lundi;Matin;Aucune
102643;MAIL;Samedi;Matin;10%
57509;MAIL;Samedi;Matin;10 euros
5686;MAIL;Samedi;Matin;10%
122098;MAIL;Samedi;Matin;10%
329016;SMS;Mercredi;Matin;Aucune
308799;MAIL;Samedi;Matin;5 euros
459194;MAIL;Samedi;Matin;10%
153158;SMS;Dimanche;Matin;Aucune
125007;MAIL;Samedi;Matin;10 euros
9025;SMS;Mercredi;Matin;10%
307532;SMS;Mercredi;Matin;Aucune
302134;CALL;Vendredi;Matin;Aucune
285067;SMS;Mercredi;Matin;Aucune
132583;MAIL;Samedi;Matin;5 euros
440725;SMS;Mercredi;Matin;Aucune
406780;SMS;Lundi;Matin;Aucune
316913;CALL;Vendredi;Matin;Aucune
80267;CALL;Vendredi;Midi;Aucune
158783;CALL;Mercredi;Matin;Aucune
103712;SMS;Mercredi;Midi;Aucune
40494;CALL;Lundi;Midi;5 euros
272886;CALL;Lundi;Matin;Aucune
441337;CALL;Mercredi;Midi;10 euros
54340;SMS;Vendredi;Matin;Aucune
157672;SMS;Samedi;Matin;Aucune
299323;CALL;Dimanche;Matin;10%
276063;CALL;Mercredi;Matin;10%
474733;SMS;Mercredi;Midi;10 euros
168712;CALL;Mercredi;Midi;10 euros
113692;SMS;Samedi;Matin;Aucune
3141;CALL;Lundi;Midi;10%
102288;CALL;Lundi;Midi;5 euros
105209;CALL;Samedi;Matin;10%
163188;MAIL;Samedi;Matin;5 euros
122126;SMS;Samedi;Matin;Aucune
35442;SMS;Mercredi;Midi;Aucune
431987;SMS;Samedi;Midi;Aucune
56123;CALL;Dimanche;Matin;Aucune
123084;MAIL;Vendredi;Matin;10%
360262;CALL;Lundi;Matin;10%
180490;MAIL;Samedi;Matin;10 euros
414304;CALL;Mercredi;Matin;Aucune
32406;MAIL;Samedi;Midi;10%
181646;CALL;Lundi;Matin;Aucune
97801;CALL;Samedi;Matin;Aucune
439884;CALL;Mercredi;Matin;10%
43350;SMS;Samedi;Matin;Aucune
149256;MAIL;Mercredi;Midi;5 euros
39889;SMS;Samedi;Matin;Aucune
125075;CALL;Mercredi;Midi;10%
306224;CALL;Samedi;Matin;10%
483565;SMS;Mercredi;Midi;10%
361871;SMS;Mercredi;Matin;10%
526123;SMS;Mercredi;Midi;Aucune
135173;SMS;Samedi;Matin;10%
337088;CALL;Vendredi;Midi;5 euros
299369;MAIL;Mercredi;Midi;10%
289983;MAIL;Lundi;Midi;10 euros
307482;MAIL;Vendredi;Midi;10%
46023;SMS;Samedi;Matin;Aucune
434473;SMS;Mercredi;Matin;Aucune
394164;SMS;Vendredi;Matin;Aucune
337423;SMS;Dimanche;Midi;10%
354532;CALL;Samedi;Matin;10%
143671;SMS;Mercredi;Midi;Aucune
255510;SMS;Mercredi;Midi;Aucune
411805;CALL;Lundi;Midi;Aucune
117894;SMS;Mercredi;Midi;Aucune
261846;CALL;Vendredi;Matin;Aucune
361900;SMS;Mercredi;Midi;Aucune
85955;CALL;Samedi;Matin;10%
141830;MAIL;Samedi;Matin;10 euros
4200;CALL;Lundi;Midi;10 euros
101505;SMS;Mercredi;Matin;Aucune
471108;MAIL;Samedi;Matin;10 euros
360213;CALL;Mercredi;Matin;Aucune
55434;MAIL;Samedi;Matin;5 euros
129965;MAIL;Samedi;Matin;5 euros
335314;MAIL;Samedi;Matin;10%
345990;MAIL;Samedi;Matin;10%
449016;MAIL;Samedi;Matin;10 euros
341398;MAIL;Samedi;Matin;10%
28860;CALL;Mercredi;Matin;Aucune
133254;CALL;Mercredi;Midi;Aucune
367629;MAIL;Samedi;Matin;10%
110312;SMS;Mercredi;Matin;Aucune
39887;SMS;Mercredi;Matin;Aucune
119166;SMS;Mercredi;Matin;Aucune
115721;SMS;Mercredi;Matin;Aucune
160760;CALL;Mercredi;Matin;Aucune
96451;CALL;Mercredi;Matin;10%
11115;CALL;Mercredi;Matin;10%
14533;CALL;Mercredi;Matin;Aucune
148225;SMS;Mercredi;Matin;10%
13468;MAIL;Mercredi;Midi;10%
327712;CALL;Samedi;Midi;Aucune
400966;SMS;Mercredi;Midi;10 euros
421695;SMS;Mercredi;Matin;Aucune
120480;SMS;Mercredi;Midi;Aucune
353774;CALL;Samedi;Matin;10%
53125;CALL;Mercredi;Midi;5 euros
341440;CALL;Mercredi;Matin;Aucune
308252;MAIL;Samedi;Matin;10%
414230;MAIL;Samedi;Matin;10%
66272;CALL;Mercredi;Matin;Aucune
275901;CALL;Mercredi;Matin;Aucune
336985;MAIL;Samedi;Matin;10%
423353;SMS;Mercredi;Matin;Aucune
55945;MAIL;Samedi;Matin;10 euros
438143;MAIL;Samedi;Matin;10%
444366;MAIL;Samedi;Matin;5 euros
56662;SMS;Mercredi;Matin;Aucune
430549;MAIL;Samedi;Matin;10 euros
37566;SMS;Mercredi;Matin;Aucune
174908;SMS;Mercredi;Matin;Aucune
277749;SMS;Mercredi;Matin;10%
148282;MAIL;Mercredi;Midi;Aucune
159990;MAIL;Samedi;Matin;10 euros
95812;CALL;Mercredi;Midi;Aucune
156610;MAIL;Samedi;Matin;10%
371580;SMS;Mercredi;Matin;Aucune
453184;MAIL;Mercredi;Midi;Aucune
439839;CALL;Mercredi;Matin;Aucune
364127;MAIL;Samedi;Matin;5 euros
346042;SMS;Mercredi;Matin;Aucune
102523;MAIL;Samedi;Matin;10%
254367;CALL;Mercredi;Matin;Aucune
105252;MAIL;Samedi;Matin;10%
106239;SMS;Mercredi;Matin;Aucune
109110;MAIL;Samedi;Matin;10 euros
5467;MAIL;Samedi;Matin;10 euros
418799;SMS;Mercredi;Midi;10%
59298;MAIL;Samedi;Matin;5 euros
119216;SMS;Mercredi;Midi;10 euros
138209;SMS;Mercredi;Matin;Aucune
164967;MAIL;Mercredi;Midi;5 euros
262753;MAIL;Samedi;Matin;5 euros
394174;MAIL;Mercredi;Midi;5 euros
339633;CALL;Mercredi;Matin;10%
31005;MAIL;Samedi;Matin;5 euros
466066;MAIL;Samedi;Matin;10%
446787;MAIL;Samedi;Matin;10%
460918;MAIL;Samedi;Matin;10 euros
333582;MAIL;Samedi;Matin;10%
444354;MAIL;Samedi;Matin;5 euros
101141;MAIL;Samedi;Matin;10%
459201;MAIL;Samedi;Matin;10%
339785;MAIL;Samedi;Matin;10 euros
452662;SMS;Mercredi;Matin;Aucune
158667;CALL;Mercredi;Midi;Aucune
92934;CALL;Mercredi;Midi;Aucune
337855;CALL;Mercredi;Midi;Aucune
92831;CALL;Mercredi;Matin;Aucune
354547;MAIL;Samedi;Matin;10%
457358;MAIL;Samedi;Matin;10%
264598;SMS;Mercredi;Matin;Aucune
344228;CALL;Mercredi;Matin;10%
433562;MAIL;Samedi;Matin;10%
287299;SMS;Mercredi;Midi;Aucune
299229;MAIL;Samedi;Matin;10%
172067;MAIL;Samedi;Matin;5 euros
164095;SMS;Mercredi;Matin;Aucune
121534;CALL;Mercredi;Midi;Aucune
165020;CALL;Mercredi;Midi;Aucune
442691;MAIL;Samedi;Matin;5 euros
125826;SMS;Mercredi;Matin;Aucune
149403;MAIL;Samedi;Matin;10%
394991;MAIL;Samedi;Matin;5 euros
400768;MAIL;Samedi;Matin;5 euros
103934;SMS;Mercredi;Midi;Aucune
337853;CALL;Samedi;Midi;Aucune
417416;CALL;Mercredi;Midi;5 euros
129698;MAIL;Samedi;Matin;10%
337923;CALL;Mercredi;Midi;Aucune
107960;SMS;Samedi;Matin;10%
12512;MAIL;Mercredi;Midi;10%
353668;CALL;Mercredi;Matin;Aucune
135224;MAIL;Samedi;Matin;10 euros
178945;SMS;Mercredi;Matin;Aucune
153164;MAIL;Samedi;Matin;5 euros
404591;CALL;Mercredi;Matin;Aucune
483886;MAIL;Samedi;Matin;10 euros
464230;SMS;Mercredi;Midi;Aucune
157660;SMS;Mercredi;Midi;Aucune
162499;MAIL;Samedi;Matin;10 euros
142701;SMS;Mercredi;Matin;Aucune
171996;MAIL;Samedi;Matin;10%
167676;SMS;Mercredi;Matin;Aucune
18721;MAIL;Samedi;Matin;10 euros
398138;MAIL;Samedi;Matin;10%
94355;MAIL;Samedi;Matin;5 euros
449034;MAIL;Samedi;Matin;10 euros
77745;SMS;Mercredi;Matin;Aucune
438124;CALL;Mercredi;Midi;Aucune
175042;MAIL;Samedi;Matin;5 euros
157417;MAIL;Samedi;Matin;10 euros
15115;MAIL;Samedi;Matin;10%
10439;CALL;Mercredi;Matin;Aucune
35394;SMS;Mercredi;Matin;Aucune
398130;MAIL;Samedi;Matin;5 euros
78303;MAIL;Samedi;Matin;10%
33503;CALL;Mercredi;Matin;Aucune
97582;MAIL;Samedi;Matin;10 euros
433357;CALL;Mercredi;Matin;Aucune
435944;SMS;Mercredi;Matin;Aucune
145480;CALL;Mercredi;Midi;Aucune
117268;CALL;Mercredi;Midi;Aucune
290048;MAIL;Samedi;Matin;5 euros
92968;SMS;Mercredi;Matin;10%
226824;CALL;Mercredi;Midi;10 euros
160175;SMS;Mercredi;Matin;Aucune
454898;SMS;Mercredi;Midi;Aucune
105232;MAIL;Samedi;Matin;5 euros
471102;MAIL;Mercredi;Midi;5 euros
188129;SMS;Samedi;Matin;Aucune
400747;CALL;Mercredi;Midi;10%
57482;MAIL;Mercredi;Midi;10 euros
311943;MAIL;Samedi;Matin;5 euros
464110;MAIL;Samedi;Matin;5 euros
425738;SMS;Mercredi;Matin;10%
36502;SMS;Mercredi;Matin;Aucune
363843;MAIL;Samedi;Matin;10%
413764;SMS;Mercredi;Matin;Aucune
290014;CALL;Mercredi;Matin;10%
35363;SMS;Mercredi;Matin;Aucune
395711;SMS;Mercredi;Matin;Aucune
425751;SMS;Mercredi;Matin;Aucune
131964;MAIL;Samedi;Matin;10 euros
77957;MAIL;Samedi;Matin;5 euros
152654;MAIL;Samedi;Matin;10 euros
58248;MAIL;Samedi;Matin;5 euros
143798;SMS;Mercredi;Matin;Aucune
405716;SMS;Mercredi;Matin;Aucune
177941;CALL;Mercredi;Matin;Aucune
431607;MAIL;Samedi;Matin;5 euros
64029;CALL;Mercredi;Matin;10%
11731;MAIL;Samedi;Matin;5 euros
114849;MAIL;Samedi;Matin;5 euros
317066;MAIL;Samedi;Matin;10%
156396;CALL;Mercredi;Matin;Aucune
406615;MAIL;Samedi;Matin;5 euros
458559;SMS;Mercredi;Matin;Aucune
55662;MAIL;Samedi;Matin;10 euros
119740;MAIL;Samedi;Matin;10 euros
61321;SMS;Mercredi;Matin;Aucune
160097;CALL;Mercredi;Midi;5 euros
315241;SMS;Mercredi;Matin;Aucune
138081;SMS;Mercredi;Midi;Aucune
156362;SMS;Mercredi;Matin;Aucune
107975;SMS;Mercredi;Midi;Aucune
467064;SMS;Mercredi;Matin;Aucune
37418;MAIL;Mercredi;Midi;10%
12472;SMS;Mercredi;Midi;5 euros
94198;CALL;Mercredi;Midi;Aucune
337801;SMS;Mercredi;Matin;Aucune
305876;CALL;Mercredi;Matin;10%
427840;MAIL;Samedi;Matin;10 euros
34409;MAIL;Samedi;Matin;5 euros
37551;SMS;Mercredi;Matin;Aucune
13201;MAIL;Samedi;Matin;10 euros
